"","st_la","end_la","st_long","end_long","la_mean","long_mean"
"1",39.06,39.17,-84.76,-84.747,39.115,-84.7535
"2",39.06,39.17,-84.747,-84.734,39.115,-84.7405
"3",39.06,39.17,-84.734,-84.721,39.115,-84.7275
"4",39.06,39.17,-84.721,-84.708,39.115,-84.7145
"5",39.06,39.17,-84.708,-84.695,39.115,-84.7015
"6",39.06,39.17,-84.695,-84.682,39.115,-84.6885
"7",39.06,39.17,-84.682,-84.669,39.115,-84.6755
"8",39.06,39.17,-84.669,-84.656,39.115,-84.6625
"9",39.06,39.17,-84.656,-84.643,39.115,-84.6495
"10",39.06,39.17,-84.643,-84.63,39.115,-84.6365
"11",39.06,39.17,-84.63,-84.617,39.115,-84.6235
"12",39.06,39.17,-84.617,-84.604,39.115,-84.6105
"13",39.06,39.17,-84.604,-84.591,39.115,-84.5975
"14",39.06,39.17,-84.591,-84.578,39.115,-84.5845
"15",39.06,39.17,-84.578,-84.565,39.115,-84.5715
"16",39.06,39.17,-84.565,-84.552,39.115,-84.5585
"17",39.06,39.17,-84.552,-84.539,39.115,-84.5455
"18",39.06,39.17,-84.539,-84.526,39.115,-84.5325
"19",39.06,39.17,-84.526,-84.513,39.115,-84.5195
"20",39.06,39.17,-84.513,-84.5,39.115,-84.5065
"21",39.06,39.17,-84.5,-84.487,39.115,-84.4935
"22",39.06,39.17,-84.487,-84.474,39.115,-84.4805
"23",39.06,39.17,-84.474,-84.461,39.115,-84.4675
"24",39.06,39.17,-84.461,-84.448,39.115,-84.4545
"25",39.06,39.17,-84.448,-84.435,39.115,-84.4415
"26",39.06,39.17,-84.435,-84.422,39.115,-84.4285
"27",39.06,39.17,-84.422,-84.409,39.115,-84.4155
"28",39.06,39.17,-84.409,-84.396,39.115,-84.4025
"29",39.06,39.17,-84.396,-84.383,39.115,-84.3895
"30",39.06,39.17,-84.383,-84.37,39.115,-84.3765
"31",39.17,39.28,-84.76,-84.747,39.225,-84.7535
"32",39.17,39.28,-84.747,-84.734,39.225,-84.7405
"33",39.17,39.28,-84.734,-84.721,39.225,-84.7275
"34",39.17,39.28,-84.721,-84.708,39.225,-84.7145
"35",39.17,39.28,-84.708,-84.695,39.225,-84.7015
"36",39.17,39.28,-84.695,-84.682,39.225,-84.6885
"37",39.17,39.28,-84.682,-84.669,39.225,-84.6755
"38",39.17,39.28,-84.669,-84.656,39.225,-84.6625
"39",39.17,39.28,-84.656,-84.643,39.225,-84.6495
"40",39.17,39.28,-84.643,-84.63,39.225,-84.6365
"41",39.17,39.28,-84.63,-84.617,39.225,-84.6235
"42",39.17,39.28,-84.617,-84.604,39.225,-84.6105
"43",39.17,39.28,-84.604,-84.591,39.225,-84.5975
"44",39.17,39.28,-84.591,-84.578,39.225,-84.5845
"45",39.17,39.28,-84.578,-84.565,39.225,-84.5715
"46",39.17,39.28,-84.565,-84.552,39.225,-84.5585
"47",39.17,39.28,-84.552,-84.539,39.225,-84.5455
"48",39.17,39.28,-84.539,-84.526,39.225,-84.5325
"49",39.17,39.28,-84.526,-84.513,39.225,-84.5195
"50",39.17,39.28,-84.513,-84.5,39.225,-84.5065
"51",39.17,39.28,-84.5,-84.487,39.225,-84.4935
"52",39.17,39.28,-84.487,-84.474,39.225,-84.4805
"53",39.17,39.28,-84.474,-84.461,39.225,-84.4675
"54",39.17,39.28,-84.461,-84.448,39.225,-84.4545
"55",39.17,39.28,-84.448,-84.435,39.225,-84.4415
"56",39.17,39.28,-84.435,-84.422,39.225,-84.4285
"57",39.17,39.28,-84.422,-84.409,39.225,-84.4155
"58",39.17,39.28,-84.409,-84.396,39.225,-84.4025
"59",39.17,39.28,-84.396,-84.383,39.225,-84.3895
"60",39.17,39.28,-84.383,-84.37,39.225,-84.3765
"61",39.28,39.39,-84.76,-84.747,39.335,-84.7535
"62",39.28,39.39,-84.747,-84.734,39.335,-84.7405
"63",39.28,39.39,-84.734,-84.721,39.335,-84.7275
"64",39.28,39.39,-84.721,-84.708,39.335,-84.7145
"65",39.28,39.39,-84.708,-84.695,39.335,-84.7015
"66",39.28,39.39,-84.695,-84.682,39.335,-84.6885
"67",39.28,39.39,-84.682,-84.669,39.335,-84.6755
"68",39.28,39.39,-84.669,-84.656,39.335,-84.6625
"69",39.28,39.39,-84.656,-84.643,39.335,-84.6495
"70",39.28,39.39,-84.643,-84.63,39.335,-84.6365
"71",39.28,39.39,-84.63,-84.617,39.335,-84.6235
"72",39.28,39.39,-84.617,-84.604,39.335,-84.6105
"73",39.28,39.39,-84.604,-84.591,39.335,-84.5975
"74",39.28,39.39,-84.591,-84.578,39.335,-84.5845
"75",39.28,39.39,-84.578,-84.565,39.335,-84.5715
"76",39.28,39.39,-84.565,-84.552,39.335,-84.5585
"77",39.28,39.39,-84.552,-84.539,39.335,-84.5455
"78",39.28,39.39,-84.539,-84.526,39.335,-84.5325
"79",39.28,39.39,-84.526,-84.513,39.335,-84.5195
"80",39.28,39.39,-84.513,-84.5,39.335,-84.5065
"81",39.28,39.39,-84.5,-84.487,39.335,-84.4935
"82",39.28,39.39,-84.487,-84.474,39.335,-84.4805
"83",39.28,39.39,-84.474,-84.461,39.335,-84.4675
"84",39.28,39.39,-84.461,-84.448,39.335,-84.4545
"85",39.28,39.39,-84.448,-84.435,39.335,-84.4415
"86",39.28,39.39,-84.435,-84.422,39.335,-84.4285
"87",39.28,39.39,-84.422,-84.409,39.335,-84.4155
"88",39.28,39.39,-84.409,-84.396,39.335,-84.4025
"89",39.28,39.39,-84.396,-84.383,39.335,-84.3895
"90",39.28,39.39,-84.383,-84.37,39.335,-84.3765
"91",39.39,39.5,-84.76,-84.747,39.445,-84.7535
"92",39.39,39.5,-84.747,-84.734,39.445,-84.7405
"93",39.39,39.5,-84.734,-84.721,39.445,-84.7275
"94",39.39,39.5,-84.721,-84.708,39.445,-84.7145
"95",39.39,39.5,-84.708,-84.695,39.445,-84.7015
"96",39.39,39.5,-84.695,-84.682,39.445,-84.6885
"97",39.39,39.5,-84.682,-84.669,39.445,-84.6755
"98",39.39,39.5,-84.669,-84.656,39.445,-84.6625
"99",39.39,39.5,-84.656,-84.643,39.445,-84.6495
"100",39.39,39.5,-84.643,-84.63,39.445,-84.6365
"101",39.39,39.5,-84.63,-84.617,39.445,-84.6235
"102",39.39,39.5,-84.617,-84.604,39.445,-84.6105
"103",39.39,39.5,-84.604,-84.591,39.445,-84.5975
"104",39.39,39.5,-84.591,-84.578,39.445,-84.5845
"105",39.39,39.5,-84.578,-84.565,39.445,-84.5715
"106",39.39,39.5,-84.565,-84.552,39.445,-84.5585
"107",39.39,39.5,-84.552,-84.539,39.445,-84.5455
"108",39.39,39.5,-84.539,-84.526,39.445,-84.5325
"109",39.39,39.5,-84.526,-84.513,39.445,-84.5195
"110",39.39,39.5,-84.513,-84.5,39.445,-84.5065
"111",39.39,39.5,-84.5,-84.487,39.445,-84.4935
"112",39.39,39.5,-84.487,-84.474,39.445,-84.4805
"113",39.39,39.5,-84.474,-84.461,39.445,-84.4675
"114",39.39,39.5,-84.461,-84.448,39.445,-84.4545
"115",39.39,39.5,-84.448,-84.435,39.445,-84.4415
"116",39.39,39.5,-84.435,-84.422,39.445,-84.4285
"117",39.39,39.5,-84.422,-84.409,39.445,-84.4155
"118",39.39,39.5,-84.409,-84.396,39.445,-84.4025
"119",39.39,39.5,-84.396,-84.383,39.445,-84.3895
"120",39.39,39.5,-84.383,-84.37,39.445,-84.3765
"121",39.5,39.61,-84.76,-84.747,39.555,-84.7535
"122",39.5,39.61,-84.747,-84.734,39.555,-84.7405
"123",39.5,39.61,-84.734,-84.721,39.555,-84.7275
"124",39.5,39.61,-84.721,-84.708,39.555,-84.7145
"125",39.5,39.61,-84.708,-84.695,39.555,-84.7015
"126",39.5,39.61,-84.695,-84.682,39.555,-84.6885
"127",39.5,39.61,-84.682,-84.669,39.555,-84.6755
"128",39.5,39.61,-84.669,-84.656,39.555,-84.6625
"129",39.5,39.61,-84.656,-84.643,39.555,-84.6495
"130",39.5,39.61,-84.643,-84.63,39.555,-84.6365
"131",39.5,39.61,-84.63,-84.617,39.555,-84.6235
"132",39.5,39.61,-84.617,-84.604,39.555,-84.6105
"133",39.5,39.61,-84.604,-84.591,39.555,-84.5975
"134",39.5,39.61,-84.591,-84.578,39.555,-84.5845
"135",39.5,39.61,-84.578,-84.565,39.555,-84.5715
"136",39.5,39.61,-84.565,-84.552,39.555,-84.5585
"137",39.5,39.61,-84.552,-84.539,39.555,-84.5455
"138",39.5,39.61,-84.539,-84.526,39.555,-84.5325
"139",39.5,39.61,-84.526,-84.513,39.555,-84.5195
"140",39.5,39.61,-84.513,-84.5,39.555,-84.5065
"141",39.5,39.61,-84.5,-84.487,39.555,-84.4935
"142",39.5,39.61,-84.487,-84.474,39.555,-84.4805
"143",39.5,39.61,-84.474,-84.461,39.555,-84.4675
"144",39.5,39.61,-84.461,-84.448,39.555,-84.4545
"145",39.5,39.61,-84.448,-84.435,39.555,-84.4415
"146",39.5,39.61,-84.435,-84.422,39.555,-84.4285
"147",39.5,39.61,-84.422,-84.409,39.555,-84.4155
"148",39.5,39.61,-84.409,-84.396,39.555,-84.4025
"149",39.5,39.61,-84.396,-84.383,39.555,-84.3895
"150",39.5,39.61,-84.383,-84.37,39.555,-84.3765
